"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"-:1981076.1-2018770.7",,2,7537,30148,30148,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.948654,2,7537,30148,30148,4,1,0,0,0
"-:2018771.1-2021770.7",,2,598,2392,2392,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0863536,2,598,2392,2392,4,1,0,0,0
"-:2021771.1-2029730.7",,2,1590,6360,6360,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.203769,2,1590,6360,6360,4,1,0,0,0
"-:2029731.1-2076970.7",,2,9446,37784,37784,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.1888,2,9446,37784,37784,4,1,0,0,0
"-:2076971.1-2088200.7",,2,2244,8976,8976,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.286582,2,2244,8976,8976,4,1,0,0,0
"-:2088201.1-2118115.7",,2,5981,23924,23924,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.756665,2,5981,23924,23924,4,1,0,0,0
"-:2118116.1-2125375.7",,2,1450,5800,5800,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.190991,2,1450,5800,5800,4,1,0,0,0
"-:2125376.1-2131970.7",,2,1317,5268,5268,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.172115,2,1317,5268,5268,4,1,0,0,0
"-:2131971.1-2141870.7",,2,1978,7912,7912,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.260204,2,1978,7912,7912,4,1,0,0,0
"-:2141871.1-2178045.7",,2,7233,28932,28932,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.935188,2,7233,28932,28932,4,1,0,0,0
"-:2178046.1-2186020.7",,2,1593,6372,6372,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.201765,2,1593,6372,6372,4,1,0,0,0
"-:2186021.1-2187470.7",,2,288,1152,1152,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0470807,2,288,1152,1152,4,1,0,0,0
"-:2187471.1-2226180.7",,2,7740,30960,30960,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.965809,2,7740,30960,30960,4,1,0,0,0
"-:2226181.1-2254135.7",,2,5589,22356,22356,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.705516,2,5589,22356,22356,4,1,0,0,0
"-:2254136.1-2297080.7",,2,8587,34348,34348,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.18251,2,8587,34348,34348,4,1,0,0,0
"-:2297081.1-2315375.7",,2,3657,14628,14628,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.493248,2,3657,14628,14628,4,1,0,0,0
"-:2315376.1-2317095.7",,2,342,1368,1368,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0556348,2,342,1368,1368,4,1,0,0,0
